Entity	Director	url	Year	Alias	IMDB_OLD	IMDB URL	genre	Runtime
Packed In A Trunk: The Lost Art Of Edith Lake Wilkinson	Michelle Boyaner	http://slgff.strangertickets.com/films/28226606/packed-in-a-trunk-the-lost-art-of-edith-lake-wilkinson	2015		tt4093410			78
Addicted To Fresno	Jamie Babbit	http://slgff.strangertickets.com/films/28226514/addicted-to-fresno	2015		tt4000870			85
Beat	Tricia Hagoriles	http://slgff.strangertickets.com/films/28226660/beat	2015		tt3714864			15
Sebastian	Carlos Ciurlizza	http://slgff.strangertickets.com/films/28226563/sebastian	2014		tt3515652			108
Supermum	Lisa Gifford	http://slgff.strangertickets.com/films/28226841/supermum	2015		tt4711700			3
Elder	Genéa Gaudet	http://slgff.strangertickets.com/films/28226699/elder	2015		tt2786526			15
My Life In Dance	Amir Jaffer	http://slgff.strangertickets.com/films/28226796/my-life-in-dance	2015		tt4911274			13
Camouflage	Stephan Kämpf, Andreas Kessler	http://slgff.strangertickets.com/films/28226717/camouflage	2014		tt3588216			8
Middle Man	Charlie Francis	http://slgff.strangertickets.com/films/28226773/middle-man	2014		tt3550298			5
Myrna The Monster	Ian Samuels	http://slgff.strangertickets.com/films/28226821/myrna-the-monster	2015		tt4180724			15
Been Too Long At The Fair	Charles Lum, Todd Verow	http://slgff.strangertickets.com/films/28226665/been-too-long-at-the-fair	2015		tt4374426			7
